id,Taxon,taxon_final,Type,source,lat,lon,is_hybrid,final_cult_stat,final_origin_stat,H,G,crop_code
622471089,1962,Arachis_paraguariensis,G,USDA_NPGS,-22.8333,-56.875,0,wild,,0,1,groundnut
622482705,1947,Arachis_kempff-mercadoi,G,USDA_NPGS,-16.9753,-61.1299,0,,,0,1,groundnut
622487667,1915,Arachis_helodes,G,USDA_NPGS,-15.9653,-56.4543,0,,,0,1,groundnut
622487672,1915,Arachis_helodes,G,USDA_NPGS,-34.4274,-57.5833,0,,,0,1,groundnut
622493199,1914,Arachis_duranensis,G,USDA_NPGS,-20.4896,-62.1329,0,wild,,0,1,groundnut
622493200,1914,Arachis_duranensis,G,USDA_NPGS,-20.5392,-62.1218,0,wild,,0,1,groundnut
622493201,1914,Arachis_duranensis,G,USDA_NPGS,-20.5392,-62.1218,0,wild,,0,1,groundnut
622493203,1914,Arachis_duranensis,G,USDA_NPGS,-21.6833,-63.786,0,,,0,1,groundnut
622493204,1914,Arachis_duranensis,G,USDA_NPGS,-22.9227,-63.9464,0,,,0,1,groundnut
622493206,1914,Arachis_duranensis,G,USDA_NPGS,-21.85,-63.8,0,,,0,1,groundnut
622493207,1914,Arachis_duranensis,G,USDA_NPGS,-21.6902,-63.7667,0,,,0,1,groundnut
622493209,1914,Arachis_duranensis,G,USDA_NPGS,-24.2066,-65.3014,0,,,0,1,groundnut
622493211,1914,Arachis_duranensis,G,USDA_NPGS,-24.3621,-65.6488,0,,,0,1,groundnut
622493213,1914,Arachis_duranensis,G,USDA_NPGS,-25.2236,-64.3977,0,,,0,1,groundnut
622493215,1914,Arachis_duranensis,G,USDA_NPGS,-24.8448,-65.4795,0,,,0,1,groundnut
622493216,1914,Arachis_duranensis,G,USDA_NPGS,-24.8,-65.4167,0,,,0,1,groundnut
622493218,1914,Arachis_duranensis,G,USDA_NPGS,-25.2236,-64.3977,0,,,0,1,groundnut
622493221,1914,Arachis_duranensis,G,USDA_NPGS,-23.9542,-64.7739,0,,,0,1,groundnut
622493222,1914,Arachis_duranensis,G,USDA_NPGS,-21.8615,-63.6205,0,,,0,1,groundnut
622493225,1914,Arachis_duranensis,G,USDA_NPGS,-22.2333,-63.7,0,,,0,1,groundnut
622493227,1914,Arachis_duranensis,G,USDA_NPGS,-24.7736,-65.4377,0,,,0,1,groundnut
622493655,1913,Arachis_diogoi,G,USDA_NPGS,-22.3333,-57.9167,0,,,0,1,groundnut
622493658,1913,Arachis_diogoi,G,USDA_NPGS,-15.9795,-56.4921,0,,,0,1,groundnut
622499935,1911,Arachis_cardenasii,G,USDA_NPGS,-18.3333,-59.75,0,,,0,1,groundnut
622501609,1910,Arachis_batizocoi,G,USDA_NPGS,-20.973,-61.8019,0,wild,,0,1,groundnut
624291458,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.045,-56.9761,0,wild,,0,1,groundnut
624291460,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.9114,-56.9056,0,wild,,0,1,groundnut
624291461,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.0278,-56.9378,0,wild,,0,1,groundnut
624291462,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.5844,-56.8383,0,wild,,0,1,groundnut
624291463,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.7769,-56.8408,0,wild,,0,1,groundnut
624291465,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.6672,-56.8144,0,wild,,0,1,groundnut
624291466,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.2753,-57.3469,0,wild,,0,1,groundnut
624298635,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.1333,-65.3833,0,,,0,1,groundnut
624298636,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.15,-65.3667,0,,,0,1,groundnut
624298640,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.0667,-65.4,0,,,0,1,groundnut
624298643,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.1167,-65.3833,0,,,0,1,groundnut
624346609,1922,Arachis_appressipila,G,USDA_NPGS_GRIN,-19.0333,-57.6667,0,,,0,1,groundnut
624357399,1910,Arachis_batizocoi,G,USDA_NPGS_GRIN,-20.9025,-61.8433,0,wild,,0,1,groundnut
624357400,1910,Arachis_batizocoi,G,USDA_NPGS_GRIN,-19.5206,-63.2489,0,wild,,0,1,groundnut
624357406,1910,Arachis_batizocoi,G,USDA_NPGS_GRIN,-19.6667,-63.6833,0,,,0,1,groundnut
624357407,1910,Arachis_batizocoi,G,USDA_NPGS_GRIN,-19.7167,-63.6,0,,,0,1,groundnut
624357408,1910,Arachis_batizocoi,G,USDA_NPGS_GRIN,-19.2167,-63.5167,0,,,0,1,groundnut
624366511,1911,Arachis_cardenasii,G,USDA_NPGS_GRIN,-17.9667,-60.7833,0,,,0,1,groundnut
624366515,1911,Arachis_cardenasii,G,USDA_NPGS_GRIN,-18.35,-59.75,0,,,0,1,groundnut
624381510,1913,Arachis_diogoi,G,USDA_NPGS_GRIN,-17.6667,-57.75,0,,,0,1,groundnut
624381512,1913,Arachis_diogoi,G,USDA_NPGS_GRIN,-26.3667,-57.0833,0,,,0,1,groundnut
624381514,1913,Arachis_diogoi,G,USDA_NPGS_GRIN,-16,-56.4833,0,,,0,1,groundnut
624381518,1913,Arachis_diogoi,G,USDA_NPGS_GRIN,-17.7833,-57.6667,0,,,0,1,groundnut
624384904,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.5372,-62.1239,0,wild,,0,1,groundnut
624384905,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.1569,-61.7714,0,wild,,0,1,groundnut
624384907,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.5372,-62.1239,0,wild,,0,1,groundnut
624384911,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.1569,-61.7714,0,wild,,0,1,groundnut
624384912,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.4939,-62.1364,0,wild,,0,1,groundnut
624384915,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-23.05,-63.9333,0,,,0,1,groundnut
624384916,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.8833,-63.6333,0,,,0,1,groundnut
624384917,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-23.9667,-64.7833,0,,,0,1,groundnut
624384918,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.9167,-64.4667,0,,,0,1,groundnut
624384919,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.3167,-63.45,0,,,0,1,groundnut
624384921,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.7833,-65.4333,0,,,0,1,groundnut
624384922,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.6167,-63.2167,0,,,0,1,groundnut
624384923,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.1667,-63.4167,0,,,0,1,groundnut
624384925,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.3667,-65.1167,0,,,0,1,groundnut
624384928,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-23.0667,-63.8833,0,,,0,1,groundnut
624384929,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.6833,-63.7333,0,,,0,1,groundnut
624384930,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.6833,-63.75,0,,,0,1,groundnut
624384932,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.3667,-65.1167,0,,,0,1,groundnut
624384933,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.2833,-63.4667,0,,,0,1,groundnut
624384934,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20,-60.75,0,,,0,1,groundnut
624384936,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.6833,-64.2667,0,,,0,1,groundnut
624384937,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.7333,-63.55,0,,,0,1,groundnut
624384938,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.8167,-65.45,0,,,0,1,groundnut
624384939,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-20.75,-63.1333,0,,,0,1,groundnut
624384940,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.2667,-65.2,0,,,0,1,groundnut
624384941,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-22.2,-63.6833,0,,,0,1,groundnut
624384942,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.4333,-63.45,0,,,0,1,groundnut
624384943,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.3833,-65.1167,0,,,0,1,groundnut
624384944,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-21.8,-63.55,0,,,0,1,groundnut
624384945,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-24.25,-65.2167,0,,,0,1,groundnut
624384947,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-22.85,-63.9333,0,,,0,1,groundnut
624384948,1914,Arachis_duranensis,G,USDA_NPGS_GRIN,-23.25,-63.3833,0,,,0,1,groundnut
624394033,1915,Arachis_helodes,G,USDA_NPGS_GRIN,-16.0333,-57.1167,0,,,0,1,groundnut
624399319,1917,Arachis_hoehnei,G,USDA_NPGS_GRIN,-18.1333,-57.5,0,,,0,1,groundnut
624411395,1918,Arachis_ipaensis,G,USDA_NPGS_GRIN,-21,-63.4,0,,,0,1,groundnut
624413221,1947,Arachis_kempff-mercadoi,G,USDA_NPGS_GRIN,-17.3833,-63.4667,0,,,0,1,groundnut
624424893,1920,Arachis_magna,G,USDA_NPGS_GRIN,-16.6,-62.2333,0,,,0,1,groundnut
624492456,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.1167,-65.3833,0,,,0,1,groundnut
624492457,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.0667,-65.4,0,,,0,1,groundnut
624492460,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.15,-65.3667,0,,,0,1,groundnut
624492461,1909,Arachis_monticola,G,USDA_NPGS_GRIN,-24.1333,-65.3833,0,,,0,1,groundnut
624495798,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.2753,-57.3469,0,wild,,0,1,groundnut
624495799,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.6672,-56.8144,0,wild,,0,1,groundnut
624495800,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.7769,-56.8408,0,wild,,0,1,groundnut
624495801,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.5844,-56.8383,0,wild,,0,1,groundnut
624495802,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.0278,-56.9378,0,wild,,0,1,groundnut
624495803,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-22.9114,-56.9056,0,wild,,0,1,groundnut
624495804,1962,Arachis_paraguariensis,G,USDA_NPGS_GRIN,-23.045,-56.9761,0,wild,,0,1,groundnut
625027733,1921,Arachis_villosa,G,USDA_NPGS,-34.4274,-57.5833,0,,,0,1,groundnut
626310685,1922,Arachis_appressipila,G,Bioversity,-19.02,-57.4,0,wild,native,0,1,groundnut
626310686,1922,Arachis_appressipila,G,Bioversity,-18.47,-57.3,0,wild,native,0,1,groundnut
626310687,1922,Arachis_appressipila,G,Bioversity,-19.1,-57.39,0,wild,native,0,1,groundnut
626310688,1922,Arachis_appressipila,G,Bioversity,-19.04,-56.32,0,wild,native,0,1,groundnut
