id,Taxon,taxon_final,Type,source,lat,lon,is_hybrid,final_cult_stat,final_origin_stat,H,G,crop_code
621164673,1914,Arachis_duranensis,H,GBIF,-24.84,-65.48,0,,,1,0,groundnut
621164788,1914,Arachis_duranensis,H,GBIF,-24.92,-65.5,0,,,1,0,groundnut
621164818,1914,Arachis_duranensis,H,GBIF,-24.93,-64.42,0,,,1,0,groundnut
621164925,1914,Arachis_duranensis,H,GBIF,-24.69,-64.21,0,,,1,0,groundnut
621164928,1914,Arachis_duranensis,H,GBIF,-24.9,-65.24,0,,,1,0,groundnut
621164983,1914,Arachis_duranensis,H,GBIF,-25,-64.5,0,,,1,0,groundnut
621165013,1912,Arachis_correntina,H,GBIF,-27.3704,-58.5127,0,,,1,0,groundnut
621165046,1914,Arachis_duranensis,H,GBIF,-23.25,-63.35,0,,,1,0,groundnut
621165048,1909,Arachis_monticola,H,GBIF,-27.4794,-58.8266,0,,,1,0,groundnut
621165189,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621165274,1914,Arachis_duranensis,H,GBIF,-23.01,-63.89,0,,,1,0,groundnut
621165275,1912,Arachis_correntina,H,GBIF,-27.33,-58.5,0,,,1,0,groundnut
621165336,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621165373,1914,Arachis_duranensis,H,GBIF,-24.37,-65.09,0,,,1,0,groundnut
621165498,1914,Arachis_duranensis,H,GBIF,-23.25,-63.38,0,,,1,0,groundnut
621165533,1914,Arachis_duranensis,H,GBIF,-22.67,-63.65,0,,,1,0,groundnut
621165616,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621165680,1914,Arachis_duranensis,H,GBIF,-24.37,-65.09,0,,,1,0,groundnut
621165864,1914,Arachis_duranensis,H,GBIF,-24.92,-64.42,0,,,1,0,groundnut
621165937,1912,Arachis_correntina,H,GBIF,-28.36,-58.03,0,,,1,0,groundnut
621165938,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621166119,1914,Arachis_duranensis,H,GBIF,-24.69,-64.21,0,,,1,0,groundnut
621166219,1912,Arachis_correntina,H,GBIF,-27.8,-57.46,0,,,1,0,groundnut
621166220,1914,Arachis_duranensis,H,GBIF,-23.25,-63.35,0,,,1,0,groundnut
621166321,1909,Arachis_monticola,H,GBIF,-24.11,-65.41,0,,,1,0,groundnut
621166414,1914,Arachis_duranensis,H,GBIF,-24.68,-64.25,0,,,1,0,groundnut
621166509,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621166540,1914,Arachis_duranensis,H,GBIF,-24.92,-64.42,0,,,1,0,groundnut
621166618,1914,Arachis_duranensis,H,GBIF,-24.37,-65.09,0,,,1,0,groundnut
621166647,1909,Arachis_monticola,H,GBIF,-24.11,-65.41,0,,,1,0,groundnut
621166695,1914,Arachis_duranensis,H,GBIF,-24.37,-65.09,0,,,1,0,groundnut
621166696,1914,Arachis_duranensis,H,GBIF,-24.9,-65.24,0,,,1,0,groundnut
621166818,1912,Arachis_correntina,H,GBIF,-28.36,-58.03,0,,,1,0,groundnut
621166819,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621166871,1914,Arachis_duranensis,H,GBIF,-25.24,-64.47,0,,,1,0,groundnut
621166977,1914,Arachis_duranensis,H,GBIF,-23.25,-63.35,0,,,1,0,groundnut
621166978,1921,Arachis_villosa,H,GBIF,-29.7327,-57.0999,0,,,1,0,groundnut
621167014,1914,Arachis_duranensis,H,GBIF,-24.93,-64.42,0,,,1,0,groundnut
621167016,1914,Arachis_duranensis,H,GBIF,-24.9,-65.24,0,,,1,0,groundnut
621167086,1914,Arachis_duranensis,H,GBIF,-24.37,-65.09,0,,,1,0,groundnut
621167204,1914,Arachis_duranensis,H,GBIF,-25.24,-64.47,0,,,1,0,groundnut
621167270,1914,Arachis_duranensis,H,GBIF,-24.72,-65.41,0,,,1,0,groundnut
621167281,1921,Arachis_villosa,H,GBIF,-30.91,-57.93,0,,,1,0,groundnut
621167367,1914,Arachis_duranensis,H,GBIF,-23.03,-63.85,0,,,1,0,groundnut
621167368,1914,Arachis_duranensis,H,GBIF,-22.67,-63.65,0,,,1,0,groundnut
621167566,1921,Arachis_villosa,H,GBIF,-27.5,-58.77,0,,,1,0,groundnut
621167648,1912,Arachis_correntina,H,GBIF,-27.9517,-58.8041,0,,,1,0,groundnut
